Source,Target,Group,Weight,Weight_2018,Weight_2019,Weight_2020,Weight_2021,Weight_2022,Weight_2023,Weight_2024
19,65,Faculty-Collaborator,1,0,0,0,1,1,1,1
19,75,Faculty-Collaborator,1,0,0,0,0,0,0,1
19,90,Faculty-Collaborator,1,0,0,0,0,1,1,1
19,94,Faculty-Collaborator,1,0,0,0,0,0,1,1
19,127,Faculty-Doctoral Fellow,2,0,0,0,0,1,1,2
19,155,Faculty-Doctoral Fellow,2,0,0,0,1,2,2,2
19,193,Faculty-Faculty,3,0,0,0,1,2,3,3
19,202,Faculty-Doctoral Fellow,2,0,0,0,0,1,2,2
20,69,Collaborator-Collaborator,1,0,0,0,1,1,1,1
20,72,Collaborator-Collaborator,1,0,0,0,1,1,1,1
20,99,Collaborator-Collaborator,1,0,0,0,1,1,1,1
20,100,Collaborator-Collaborator,1,0,0,0,1,1,1,1
20,111,Faculty-Collaborator,1,0,0,0,1,1,1,1
20,128,Doctoral Fellow-Collaborator,1,0,0,0,1,1,1,1
20,162,Collaborator-Collaborator,1,0,0,0,1,1,1,1
21,37,Collaborator-Collaborator,1,0,0,0,0,0,1,1
21,56,Collaborator-Collaborator,1,0,0,0,0,0,1,1
21,58,Collaborator-Collaborator,1,0,0,0,1,1,1,1
21,71,Collaborator-Collaborator,2,0,0,0,1,1,2,2
21,80,Doctoral Fellow-Collaborator,1,0,0,0,1,1,1,1
21,93,Doctoral Fellow-Collaborator,1,0,0,0,0,0,1,1
21,205,Collaborator-Collaborator,1,0,0,0,1,1,1,1
21,217,Collaborator-Collaborator,2,0,0,0,1,1,2,2
22,41,Faculty-Affiliate Student,1,0,0,1,1,1,1,1
22,53,Faculty-Doctoral Fellow,1,0,0,0,0,0,1,1
22,163,Faculty-Faculty,1,0,0,1,1,1,1,1
22,212,Faculty-Collaborator,1,0,0,0,0,0,1,1
22,218,Faculty-Collaborator,1,0,0,0,0,0,1,1
22,225,Faculty-Collaborator,1,0,0,1,1,1,1,1
22,238,Faculty-Collaborator,1,0,0,0,0,0,1,1
23,27,Collaborator-Collaborator,1,0,0,0,1,1,1,1
23,49,Collaborator-Collaborator,1,0,0,0,1,1,1,1
23,108,Collaborator-Collaborator,1,0,0,0,1,1,1,1
23,125,Faculty-Collaborator,1,0,0,0,1,1,1,1
23,154,Collaborator-Collaborator,1,0,0,0,1,1,1,1
23,206,Collaborator-Collaborator,1,0,0,0,1,1,1,1
23,209,Doctoral Fellow-Collaborator,1,0,0,0,1,1,1,1
23,228,Affiliate Student-Collaborator,1,0,0,0,1,1,1,1
24,78,Collaborator-Collaborator,1,0,0,1,1,1,1,1
24,143,Faculty-Collaborator,1,0,0,1,1,1,1,1
25,26,Collaborator-Collaborator,1,0,0,0,0,0,0,1
25,44,Collaborator-Collaborator,1,0,0,0,0,0,0,1
25,91,Collaborator-Collaborator,1,0,0,0,0,0,0,1
25,128,Doctoral Fellow-Collaborator,1,0,0,0,0,0,0,1
25,170,Collaborator-Collaborator,1,0,0,0,0,0,0,1
25,186,Collaborator-Collaborator,1,0,0,0,0,0,0,1
25,210,Collaborator-Collaborator,1,0,0,0,0,0,0,1
25,229,Collaborator-Collaborator,1,0,0,0,0,0,0,1
26,44,Collaborator-Collaborator,1,0,0,0,0,0,0,1
26,91,Collaborator-Collaborator,1,0,0,0,0,0,0,1
26,128,Doctoral Fellow-Collaborator,1,0,0,0,0,0,0,1
26,170,Collaborator-Collaborator,1,0,0,0,0,0,0,1
26,186,Collaborator-Collaborator,1,0,0,0,0,0,0,1
26,210,Collaborator-Collaborator,1,0,0,0,0,0,0,1
26,229,Collaborator-Collaborator,1,0,0,0,0,0,0,1
27,49,Collaborator-Collaborator,1,0,0,0,1,1,1,1
27,86,Collaborator-Collaborator,1,0,0,0,1,1,1,1
27,108,Collaborator-Collaborator,1,0,0,0,1,1,1,1
27,125,Faculty-Collaborator,2,0,0,0,2,2,2,2
27,154,Collaborator-Collaborator,2,0,0,0,2,2,2,2
27,206,Collaborator-Collaborator,2,0,0,0,2,2,2,2
27,209,Doctoral Fellow-Collaborator,1,0,0,0,1,1,1,1
27,228,Affiliate Student-Collaborator,2,0,0,0,2,2,2,2
28,92,Collaborator-Collaborator,1,0,0,0,0,0,0,1
28,101,Collaborator-Collaborator,1,0,0,0,0,0,0,1
28,111,Faculty-Collaborator,1,0,0,0,0,0,0,1
28,128,Doctoral Fellow-Collaborator,1,0,0,0,0,0,0,1
29,32,Faculty-Collaborator,1,0,1,1,1,1,1,1
29,70,Collaborator-Collaborator,1,0,1,1,1,1,1,1
30,68,Collaborator-Collaborator,1,0,0,0,1,1,1,1
30,135,Collaborator-Collaborator,1,0,0,0,1,1,1,1
30,147,Collaborator-Collaborator,1,0,0,0,1,1,1,1
30,203,Collaborator-Collaborator,1,0,0,0,1,1,1,1
30,232,Doctoral Fellow-Collaborator,1,0,0,0,1,1,1,1
31,59,Collaborator-Collaborator,1,0,0,0,0,0,1,1
31,94,Collaborator-Collaborator,1,0,0,0,0,0,1,1
31,193,Faculty-Collaborator,1,0,0,0,0,0,1,1
31,202,Doctoral Fellow-Collaborator,1,0,0,0,0,0,1,1
32,41,Faculty-Affiliate Student,2,0,0,0,1,1,2,2
32,47,Faculty-Collaborator,1,0,0,1,1,1,1,1
32,66,Faculty-Collaborator,1,0,0,1,1,1,1,1
32,70,Faculty-Collaborator,1,0,1,1,1,1,1,1
32,82,Faculty-Collaborator,1,0,0,1,1,1,1,1
32,113,Faculty-Collaborator,1,1,1,1,1,1,1,1
32,129,Faculty-Collaborator,2,0,0,0,1,1,2,2
32,130,Faculty-Faculty,2,0,1,1,2,2,2,2
32,131,Faculty-Affiliate Student,2,0,0,0,1,1,2,2
32,163,Faculty-Faculty,2,0,0,0,1,1,2,2
32,168,Faculty-Collaborator,1,1,1,1,1,1,1,1
32,175,Faculty-Collaborator,1,0,0,0,1,1,1,1
32,185,Faculty-Collaborator,2,0,0,0,1,1,2,2
32,188,Faculty-Collaborator,1,0,0,0,1,1,1,1
32,195,Faculty-Collaborator,1,1,1,1,1,1,1,1
32,198,Faculty-Collaborator,1,0,0,1,1,1,1,1
