"Id","Label","Group","Cohort","First_year","Pubs","Cum_Pubs_2018","Cum_Pubs_2019","Cum_Pubs_2020","Cum_Pubs_2021","Cum_Pubs_2022","Cum_Pubs_2023","Cum_Pubs_2024"
97,"Doctoral Fellow 9","Doctoral Fellow","2018",2020,2,0,0,1,1,2,2,2
98,"Collaborator 125","Collaborator",NA,2022,1,0,0,0,0,1,1,1
99,"Collaborator 180","Collaborator",NA,2024,1,0,0,0,0,0,0,1
100,"Collaborator 126","Collaborator",NA,2022,1,0,0,0,0,1,1,1
101,"Collaborator 87","Collaborator",NA,2021,1,0,0,0,1,1,1,1
102,"Collaborator 88","Collaborator",NA,2021,1,0,0,0,1,1,1,1
103,"Collaborator 181","Collaborator",NA,2024,1,0,0,0,0,0,0,1
104,"Collaborator 41","Collaborator",NA,2020,1,0,0,1,1,1,1,1
105,"Collaborator 89","Collaborator",NA,2021,1,0,0,0,1,1,1,1
106,"Collaborator 90","Collaborator",NA,2021,1,0,0,0,1,1,1,1
107,"Collaborator 127","Collaborator",NA,2022,1,0,0,0,0,1,1,1
108,"Collaborator 128","Collaborator",NA,2022,1,0,0,0,0,1,1,1
109,"Collaborator 91","Collaborator",NA,2021,1,0,0,0,1,1,1,1
110,"Collaborator 42","Collaborator",NA,2020,2,0,0,1,1,2,2,2
111,"Affiliate Student 6","Affiliate Student","2019",2020,1,0,0,1,1,1,1,1
112,"Faculty 7","Faculty",NA,2019,4,0,1,1,3,3,3,4
113,"Collaborator 92","Collaborator",NA,2021,1,0,0,0,1,1,1,1
114,"Collaborator 6","Collaborator",NA,2018,1,1,1,1,1,1,1,1
115,"Collaborator 129","Collaborator",NA,2022,1,0,0,0,0,1,1,1
116,"Collaborator 43","Collaborator",NA,2020,1,0,0,1,1,1,1,1
117,"Collaborator 154","Collaborator",NA,2023,1,0,0,0,0,0,1,1
118,"Collaborator 130","Collaborator",NA,2022,1,0,0,0,0,1,1,1
119,"Collaborator 131","Collaborator",NA,2022,1,0,0,0,0,1,1,1
120,"Collaborator 21","Collaborator",NA,2019,1,0,1,1,1,1,1,1
121,"Collaborator 22","Collaborator",NA,2019,2,0,1,1,1,1,1,2
122,"Collaborator 132","Collaborator",NA,2022,1,0,0,0,0,1,1,1
123,"Doctoral Fellow 4","Doctoral Fellow","2017",2019,1,0,1,1,1,1,1,1
124,"Collaborator 133","Collaborator",NA,2022,1,0,0,0,0,1,1,1
125,"Faculty 19","Faculty",NA,2022,1,0,0,0,0,1,1,1
126,"Faculty 3","Faculty",NA,2018,5,1,1,1,5,5,5,5
127,"Collaborator 44","Collaborator",NA,2020,3,0,0,3,3,3,3,3
128,"Doctoral Fellow 16","Doctoral Fellow","2020",2022,4,0,0,0,0,2,3,4
129,"Doctoral Fellow 5","Doctoral Fellow","2019",2019,5,0,1,1,3,3,3,5
130,"Collaborator 93","Collaborator",NA,2021,2,0,0,0,1,1,2,2
131,"Faculty 8","Faculty",NA,2019,2,0,1,1,2,2,2,2
132,"Affiliate Student 7","Affiliate Student","2020",2021,3,0,0,0,2,2,3,3
133,"Collaborator 45","Collaborator",NA,2020,1,0,0,1,1,1,1,1
